-4.95	0	
-4.85	0	
-4.75	0	
-4.65	0	
-4.55	0	
-4.45	0	
-4.35	0	
-4.25	0	
-4.15	0	
-4.05	0	
-3.95	0	
-3.85	0	
-3.75	0	
-3.65	0	
-3.55	0	
-3.45	0	
-3.35	0	
-3.25	0	
-3.15	0	
-3.05	0	
-2.95	0	
-2.85	0	
-2.75	0	
-2.65	0	
-2.55	0	
-2.45	0	
-2.35	0	
-2.25	0	
-2.15	0	
-2.05	0	
-1.95	0.25006	
-1.85	0.25114	
-1.75	0.25314	
-1.65	0.24931	
-1.55	0.25494	
-1.45	0.25257	
-1.35	0.24906	
-1.25	0.24962	
-1.15	0.24677	
-1.05	0.24707	
-0.95	0.24778	
-0.85	0.25413	
-0.75	0.24989	
-0.65	0.24845	
-0.55	0.24905	
-0.45	0.2482	
-0.35	0.24862	
-0.25	0.25011	
-0.15	0.24881	
-0.05	0.24766	
0.05	0.25	
0.15	0.25241	
0.25	0.24793	
0.35	0.24879	
0.45	0.24692	
0.55	0.25112	
0.65	0.24902	
0.75	0.25008	
0.85	0.25053	
0.95	0.25112	
1.05	0.25121	
1.15	0.24812	
1.25	0.24981	
1.35	0.2498	
1.45	0.25354	
1.55	0.25122	
1.65	0.24801	
1.75	0.25438	
1.85	0.24913	
1.95	0.25048	
2.05	0	
2.15	0	
2.25	0	
2.35	0	
2.45	0	
2.55	0	
2.65	0	
2.75	0	
2.85	0	
2.95	0	
3.05	0	
3.15	0	
3.25	0	
3.35	0	
3.45	0	
3.55	0	
3.65	0	
3.75	0	
3.85	0	
3.95	0	
4.05	0	
4.15	0	
4.25	0	
4.35	0	
4.45	0	
4.55	0	
4.65	0	
4.75	0	
4.85	0	
4.95	0	
